STT,Mã Nhóm,Tên Nhóm Sản Phẩm,Tồn Đầu SL,Tồn Đầu VNĐ,Tổng Tiền Nhập VNĐ,Tổng Tiền Xuất HĐ VNĐ,Tổng Tiền Giá Vốn VNĐ,Tồn Cuối SL,Tồn Cuối VNĐ,Nhập T1 VNĐ,Xuất T1 VNĐ,Nhập T2 VNĐ,Xuất T2 VNĐ,Nhập T3 VNĐ,Xuất T3 VNĐ,Nhập T4 VNĐ,Xuất T4 VNĐ,Nhập T5 VNĐ,Xuất T5 VNĐ,Nhập T6 VNĐ,Xuất T6 VNĐ,Nhập T7 VNĐ,Xuất T7 VNĐ,Nhập T8 VNĐ,Xuất T8 VNĐ,Nhập T9 VNĐ,Xuất T9 VNĐ,Nhập T10 VNĐ,Xuất T10 VNĐ,Nhập T11 VNĐ,Xuất T11 VNĐ,Nhập T12 VNĐ,Xuất T12 VNĐ
21.0,PC-DELL-LAT,Laptop DELL Latitude Series,10.0,80360090.0,12319931.31519348,47272729.0,63299634.17402625,5.0,29380387.14116723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12319931.31519348,63299634.17402625,0.0,0.0,0.0,0.0
22.0,PC-DELL-OPT,PC Dell OptiPlex,15.0,5321034.0,11351928.98864293,0.0,0.0,46.0,16672962.98864293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11351928.98864293,0.0,0.0,0.0
23.0,PC-DELL-VOS,Laptop DELL Vostro Series,19.0,218780552.0,57023680.95353046,147299999.0,171893592.3396979,12.0,103910640.6138325,0.0,14355126.37037596,0.0,0.0,20591884.49299876,42736855.43563785,0.0,0.0,0.0,71228092.39272971,0.0,0.0,36431796.4605317,0.0,0.0,43573518.1409544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,PC-DELL-VOS-DT,PC Dell Vostro Desktop,23.0,133634271.0,74038827.39983398,145058419.0,85095284.18184666,30.0,122577814.2179873,1149977.564121541,0.0,27983843.47571377,0.0,0.0,0.0,19510630.67226306,27956917.39215437,5467376.665688512,5630572.658159561,0.0,16891717.97447868,0.0,0.0,11831044.68325985,17232513.36014473,0.0,11488342.24009649,0.0,0.0,0.0,0.0,8095954.338787229,5895220.556812839
25.0,PC-HP-PAV,Laptop HP Pavilion,14.0,221675461.0,106292844.4254137,159929090.0,206029578.3717414,10.0,121938727.0536723,71709038.67855534,20483877.71644859,0.0,0.0,0.0,40967755.43289718,0.0,40967755.43289718,0.0,0.0,14959915.83645348,0.0,19623889.91040488,82888151.83159874,0.0,20722037.95789969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,PC-LEN-TP,Laptop LENOVO ThinkPad,140.0,810368609.0,1175844138.214606,569081819.0,422258081.9410015,335.0,1563954665.273605,0.0,0.0,47519733.96660962,0.0,71015603.17538464,22654357.98218965,0.0,0.0,0.0,7551452.660729882,149611481.9035658,111691105.9065586,36167797.23401003,22776328.63287485,188846943.0253175,141021720.2302819,66879625.61848741,59721046.48157743,74130784.94919123,44290644.87631413,86697114.44541106,0.0,454975053.8966289,12551425.17047498
27.0,PC-LEN-V,Laptop LENOVO V-Series,186.0,1943682400.0,2490749493.417603,1708461811.0,2240062734.364433,255.0,2194369159.053169,30019272.78838225,26050733.34353263,112384171.0391506,52395575.37936204,331450139.3109307,235350640.1749429,0.0,39225106.69582382,0.0,117675320.0874715,684636165.2484233,196451148.2915423,485493287.2365658,671891098.7973359,103839419.5640679,158186432.5029855,83071535.26405644,118695104.9600402,131031266.3282112,304289702.2665111,230998707.5619035,146983329.9179977,297825529.0759104,172868541.9468878
28.0,PC-LEN-V-DT,PC Lenovo Desktop,182.0,1933553046.0,2213820320.882705,1972222731.0,2318490316.289703,223.0,1828883050.593001,115305753.8964384,39777295.13050961,342752801.2472979,146041367.2894526,194227230.1864046,298684127.1977079,21368039.00523045,38980387.53766825,0.0,116941162.6130048,316651267.7651888,269853109.0529957,129676075.8485689,240992116.5199594,11792813.73722031,76172980.88832898,519794605.0603749,386393221.8779246,25247939.40326996,193639211.5652541,79934352.90937667,207459387.3949896,457069441.8233339,303555949.2219083
29.0,PC-MSI-DT,PC MSI Desktop,46.0,46284400.0,1495992.06764264,45999999.0,19775815.02365646,53.0,28004577.04398618,0.0,0.0,0.0,0.0,0.0,5151913.026367184,0.0,4121530.421093747,0.0,4121530.421093747,0.0,2060765.210546873,0.0,1030382.605273437,1495992.06764264,2537763.43315999,0.0,751929.9061214785,0.0,0.0,0.0,0.0,0.0,0.0
30.0,PC-MSI-GF,Laptop MSI Gaming Series,10.0,137305472.0,102501827.2259371,114800001.0,142675723.1782946,9.0,97131576.0476425,0.0,0.0,29286236.62683763,0.0,73215590.5990995,35668930.79457366,0.0,0.0,0.0,0.0,0.0,53503396.19186049,0.0,35668930.79457366,0.0,0.0,0.0,17834465.39728683,0.0,0.0,0.0,0.0,0.0,0.0
