Ngày,Số HĐ,TK Nợ,TK Có,Giá trị,Diễn giải
2023-01-03,25,131,511,1452000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,25,131,3331,0.0,VAT bán ra HĐ 25
2023-01-03,25,131,511,3459264.0,Bán ra: BEL - PHÔ MAI
2023-01-03,25,131,3331,0.0,VAT bán ra HĐ 25
2023-01-03,25,131,511,69185.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,25,131,3331,0.0,VAT bán ra HĐ 25
2023-01-03,25,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,25,131,3331,0.0,VAT bán ra HĐ 25
2023-01-03,25,131,511,451000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,25,131,3331,0.0,VAT bán ra HĐ 25
2023-01-03,26,131,511,3780000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,453600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,5535000.0,Bán ra: NBT - BÁNH NABATI
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,221400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,26,131,511,343000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,26,131,3331,0.0,VAT bán ra HĐ 26
2023-01-03,27,131,511,5670000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
2023-01-03,27,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
2023-01-03,27,131,511,2132400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
